time (m),flip/min
0,11.0
1,12.0
2,16.0
3,29.0
4,13.0
5,6.0
6,18.0
7,16.0
8,17.0
9,12.0
10,5.0
11,0.0
12,0.0
13,7.0
14,19.0
15,7.0
16,25.0
17,27.0
18,9.0
19,6.0
20,9.0
21,2.0
22,12.0
23,14.0
24,6.0
25,16.0
26,6.0
27,12.0
28,14.0
29,13.0
30,16.0
31,22.0
32,13.0
33,9.0
34,14.0
35,25.0
36,8.0
37,3.0
38,20.0
39,33.0
40,8.0
41,16.0
42,21.0
43,17.0
44,13.0
45,3.0
46,10.0
47,11.0
48,5.0
49,18.0
50,16.0
51,10.0
52,14.0
53,14.0
54,6.0
55,0.0
56,13.0
57,1.0
58,2.0
59,4.0
60,7.0
61,11.0
62,7.0
63,10.0
64,21.0
65,3.0
66,5.0
67,20.0
68,15.0
69,17.0
70,14.0
71,8.0
72,12.0
73,11.0
74,15.0
75,7.0
76,15.0
77,26.0
78,33.0
79,7.0
80,1.0
81,16.0
82,28.0
83,38.0
84,42.0
85,11.0
86,25.0
87,34.0
88,28.0
89,30.0
90,33.0
91,24.0
92,8.0
93,15.0
94,12.0
95,16.0
96,13.0
97,16.0
98,5.0
99,19.0
100,21.0
101,9.0
102,14.0
103,14.0
104,23.0
105,7.0
106,17.0
107,53.0
108,12.0
109,11.0
110,20.0
111,8.0
112,9.0
113,10.0
114,24.0
115,13.0
116,15.0
117,12.0
118,12.0
119,20.0
120,11.0
121,10.0
122,30.0
123,14.0
124,10.0
125,24.0
126,14.0
127,15.0
128,12.0
129,8.0
130,10.0
131,22.0
132,18.0
133,26.0
134,32.0
135,35.0
136,32.0
137,27.0
138,32.0
139,8.0
140,20.0
141,16.0
142,14.0
143,10.0
144,14.0
145,16.0
146,8.0
147,9.0
148,21.0
149,8.0
150,3.0
151,5.0
152,20.0
153,32.0
154,18.0
155,10.0
156,18.0
157,22.0
158,18.0
159,12.0
160,20.0
161,15.0
162,12.0
163,7.0
164,11.0
165,7.0
166,0.0
167,0.0
168,22.0
169,13.0
170,10.0
171,20.0
172,2.0
173,24.0
174,10.0
175,12.0
176,15.0
177,15.0
178,3.0
179,15.0
180,19.0
181,25.0
182,12.0
183,13.0
184,15.0
185,6.0
186,37.0
187,11.0
188,8.0
189,12.0
190,11.0
191,12.0
192,4.0
193,16.0
194,13.0
195,14.0
196,18.0
197,11.0
198,9.0
199,15.0
200,22.0
201,15.0
202,17.0
203,18.0
204,12.0
205,0.0
206,8.0
207,11.0
208,14.0
209,23.0
210,16.0
211,25.0
212,13.0
213,12.0
214,2.0
215,16.0
216,23.0
217,14.0
218,19.0
219,19.0
220,26.0
221,20.0
222,27.0
223,10.0
224,17.0
225,18.0
226,29.0
227,6.0
228,20.0
229,9.0
230,29.0
231,22.0
232,18.0
233,25.0
234,20.0
235,11.0
236,7.0
237,20.0
238,2.0
239,11.0
240,15.0
241,18.0
242,8.0
243,21.0
244,6.0
245,9.0
246,26.0
247,25.0
248,19.0
249,3.0
250,17.0
251,19.0
252,14.0
253,25.0
254,10.0
255,22.0
256,21.0
257,23.0
258,22.0
259,8.0
260,14.0
261,30.0
262,31.0
263,10.0
264,6.0
265,9.0
266,17.0
267,15.0
268,21.0
269,22.0
270,13.0
271,11.0
272,9.0
273,12.0
274,13.0
275,16.0
276,19.0
277,27.0
278,30.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,5.0
286,13.0
287,14.0
288,12.0
289,15.0
290,10.0
291,18.0
292,11.0
293,27.0
294,15.0
295,17.0
296,6.0
297,32.0
298,39.0
299,26.0
300,12.0
301,22.0
302,11.0
303,9.0
304,9.0
305,0.0
306,13.0
307,23.0
308,11.0
309,7.0
310,15.0
311,14.0
312,23.0
313,13.0
314,12.0
315,4.0
316,12.0
317,13.0
318,19.0
319,22.0
320,14.0
321,11.0
322,9.0
323,5.0
324,13.0
325,12.0
326,18.0
327,11.0
328,18.0
329,24.0
